1er jour de la semaine,Semaine,Région Code,Région,Classe d'âge,Taux de passages aux urgences pour asthme,Taux d'hospitalisations après passages aux urgences pour asthme,Taux d'actes médicaux SOS médecins pour asthme
2019-12-30,2020-S01,01,Guadeloupe,Tous âges,1903.2513878,1052.6315789,
2020-01-06,2020-S02,01,Guadeloupe,Tous âges,2520.1612903,2803.7383178,
2020-01-13,2020-S03,01,Guadeloupe,65 ans ou plus,284.09090909,740.74074074,
2020-01-20,2020-S04,01,Guadeloupe,00-14 ans,8608.0586081,8064.516129,
2020-01-27,2020-S05,01,Guadeloupe,00-14 ans,5225.2252252,13333.333333,
2020-01-27,2020-S05,01,Guadeloupe,15-64 ans,1672.8624535,3030.3030303,
2020-01-27,2020-S05,01,Guadeloupe,Tous âges,2441.4549078,3669.7247706,
2020-02-03,2020-S06,01,Guadeloupe,00-14 ans,7910.7505071,4878.0487805,
2020-02-17,2020-S08,01,Guadeloupe,15-64 ans,1735.7762777,3076.9230769,
2020-02-17,2020-S08,01,Guadeloupe,65 ans ou plus,740.74074074,2000.0,
2020-02-24,2020-S09,01,Guadeloupe,00-14 ans,4655.8704453,4166.6666667,
2020-02-24,2020-S09,01,Guadeloupe,65 ans ou plus,286.53295129,0.0,
2020-03-02,2020-S10,01,Guadeloupe,Tous âges,1891.1174785,2061.8556701,
2020-03-16,2020-S12,01,Guadeloupe,00-14 ans,14227.642276,8000.0,
2020-03-16,2020-S12,01,Guadeloupe,Tous âges,4903.8461538,1578.9473684,
2020-03-23,2020-S13,01,Guadeloupe,00-14 ans,5333.3333333,12500.0,
2020-04-06,2020-S15,01,Guadeloupe,65 ans ou plus,0.0,0.0,
2020-04-06,2020-S15,01,Guadeloupe,Tous âges,981.4612868,1020.4081633,
2020-04-13,2020-S16,01,Guadeloupe,00-14 ans,2631.5789474,0.0,
2020-04-20,2020-S17,01,Guadeloupe,15-64 ans,970.87378641,980.39215686,
2020-04-27,2020-S18,01,Guadeloupe,00-14 ans,568.18181818,0.0,
2020-04-27,2020-S18,01,Guadeloupe,65 ans ou plus,374.53183521,0.0,
2020-05-04,2020-S19,01,Guadeloupe,15-64 ans,843.37349398,0.0,
2020-05-04,2020-S19,01,Guadeloupe,Tous âges,916.03053435,416.66666667,
2020-05-11,2020-S20,01,Guadeloupe,15-64 ans,284.9002849,0.0,
2020-05-18,2020-S21,01,Guadeloupe,Tous âges,447.22719141,0.0,
2020-05-25,2020-S22,01,Guadeloupe,15-64 ans,347.62456547,0.0,
2020-06-01,2020-S23,01,Guadeloupe,15-64 ans,342.07525656,0.0,
2020-06-01,2020-S23,01,Guadeloupe,Tous âges,421.34831461,0.0,
2020-06-08,2020-S24,01,Guadeloupe,65 ans ou plus,0.0,0.0,
2020-06-08,2020-S24,01,Guadeloupe,Tous âges,544.58815521,341.29692833,
2020-06-15,2020-S25,01,Guadeloupe,15-64 ans,726.89511942,2027.027027,
2020-06-22,2020-S26,01,Guadeloupe,65 ans ou plus,0.0,0.0,
