NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;DRR;QDRR
93050001;NEUILLY-SUR-M.;48.859833;2.546333;30;20240101;8.2;1;5.7;1;737;9;11.5;1;1318;9;8.4;1;8.6;1;5.8;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93050001;NEUILLY-SUR-M.;48.859833;2.546333;30;20240102;5.7;1;9.0;1;2100;9;12.0;1;1857;9;11.1;1;10.5;1;3.0;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93050001;NEUILLY-SUR-M.;48.859833;2.546333;30;20240103;4.4;1;9.9;1;1746;9;13.1;1;1208;9;10.7;1;11.5;1;3.2;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93050001;NEUILLY-SUR-M.;48.859833;2.546333;30;20240104;0.0;1;7.5;1;812;9;11.5;1;1901;9;9.8;1;9.5;1;4.0;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93050001;NEUILLY-SUR-M.;48.859833;2.546333;30;20240105;0.0;1;6.1;1;749;9;10.6;1;1341;9;7.7;1;8.4;1;4.5;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93050001;NEUILLY-SUR-M.;48.859833;2.546333;30;20240106;0.6;1;4.0;1;239;9;7.4;1;1240;9;6.0;1;5.7;1;3.4;1;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93050001;NEUILLY-SUR-M.;48.859833;2.546333;30;20240107;0.0;1;2.6;1;1744;9;3.7;1;601;9;3.1;1;3.2;1;1.1;1;;;;;15;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93050001;NEUILLY-SUR-M.;48.859833;2.546333;30;20240108;0.0;1;-1.1;1;1147;9;-0.3;1;1126;9;-0.7;1;-0.7;1;0.8;1;;;;;1440;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93050001;NEUILLY-SUR-M.;48.859833;2.546333;30;20240109;0.0;1;-2.5;1;1744;9;-0.1;1;1346;9;-1.7;1;-1.3;1;2.4;1;;;;;1440;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93050001;NEUILLY-SUR-M.;48.859833;2.546333;30;20240110;0.0;1;-2.5;1;1844;9;2.3;1;1425;9;-1.0;1;-0.1;1;4.8;1;;;;;1119;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93050001;NEUILLY-SUR-M.;48.859833;2.546333;30;20240111;0.0;1;-4.3;1;701;9;3.0;1;1330;9;-0.9;1;-0.7;1;7.3;1;;;;;986;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93050001;NEUILLY-SUR-M.;48.859833;2.546333;30;20240112;0.0;1;-2.5;1;2341;9;3.2;1;1127;9;1.5;1;0.4;1;5.7;1;;;;;205;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93050001;NEUILLY-SUR-M.;48.859833;2.546333;30;20240113;0.0;1;-1.6;1;815;9;-1.0;1;1215;9;-1.4;1;-1.3;1;0.6;1;;;;;1440;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93050001;NEUILLY-SUR-M.;48.859833;2.546333;30;20240114;0.0;1;-3.4;1;659;9;0.4;1;516;9;-1.7;1;-1.5;1;3.8;1;;;;;1440;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93050001;NEUILLY-SUR-M.;48.859833;2.546333;30;20240115;0.4;1;-1.5;1;1800;9;6.1;1;1329;9;0.7;1;2.3;1;7.6;1;;;;;598;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93050001;NEUILLY-SUR-M.;48.859833;2.546333;30;20240116;5.0;1;-6.7;1;712;9;4.6;1;1219;9;-1.7;1;-1.1;1;11.3;1;;;;;1072;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93050001;NEUILLY-SUR-M.;48.859833;2.546333;30;20240117;22.0;1;-1.8;1;2054;9;3.7;1;1313;9;1.3;1;1.0;1;5.5;1;;;;;236;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93050001;NEUILLY-SUR-M.;48.859833;2.546333;30;20240118;0.0;1;-1.4;1;1753;9;3.5;1;1412;9;0.1;1;1.1;1;4.9;1;;;;;648;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
